51.4656694,0.1332437,Pickford Lane; Somersham Road,,,,,Somersham Road
51.465507,0.1353027,Somersham Road,,,,,Somersham Road
51.4649481,0.1330065,Oldfield Road; Pickford Lane,,,,,Pickford Lane
51.4657471,0.1314175,Pickford Close,,,,,Pickford Close
51.4648585,0.1329761,Pickford Close; Pickford Lane,,,,,Pickford Lane
51.4642499,0.1327808,Percy Road; Pickford Lane,,,,,Pickford Lane
51.4640107,0.1327046,Basilon Road; Pickford Lane,,,,,Pickford Lane
51.4641517,0.1303855,Basilon Road,,,,,Basilon Road
51.4644711,0.1291034,Basilon Road; Brampton Road,,,,,Brampton Road
51.4649156,0.1290712,Brampton Road; Fairlawn Avenue,,,,,Fairlawn Avenue
51.4649674,0.1282974,Barrington Road; Fairlawn Avenue,,,,,Fairlawn Avenue
51.4646761,0.1234578,Barrington Road; Gipsy Road,,,,,Gipsy Road
51.4654222,0.123714,Fairlawn Avenue; Gipsy Road,,,,,Gipsy Road
51.465905,0.1265712,Holmesdale Road,,,,,Holmesdale Road
51.4656687,0.1292016,Brampton Road; Holmesdale Road,,,,,Holmesdale Road
51.4659525,0.1238846,Gipsy Road,,,,,Gipsy Road
51.4650437,0.1235839,Gipsy Road,,,,,Gipsy Road
51.4560798,0.144124,Royal Oak Road; Townley Road,,,,,Townley Road
51.452625,0.1250927,Green Vale,,,,,Green Vale
51.4522928,0.1274165,Alers Road; Green Vale,,,,,Green Vale
51.4523427,0.1246744,Brasted Close,,,,,Brasted Close
51.4528775,0.1326997,Barton Close; Mount Road,,,,,Mount Road
51.4535596,0.1322543,Barton Close,,,,,Barton Close
51.4535401,0.1345236,Robin Hood Lane; Sunland Avenue,,,,,Sunland Avenue
51.4541516,0.1362079,Lion Road; Robin Hood Lane,,,,,Robin Hood Lane
51.4591176,0.1256992,Talehangers Close,,,,,Talehangers Close
51.4591741,0.1252757,Talehangers Close,,,,,Talehangers Close
51.4588474,0.1251808,Talehangers Close,,,,,Talehangers Close
51.4588763,0.1256692,Talehangers Close,,,,,Talehangers Close
51.4588947,0.1248507,Talehangers Close,,,,,Talehangers Close
51.4592225,0.1249743,Talehangers Close,,,,,Talehangers Close
51.4600011,0.1266752,Longmere Court,,,,,Longmere Court
51.4627109,0.1299591,Blackthorn Grove,,,,,Blackthorn Grove
51.4632813,0.1269168,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4634941,0.12545,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4635113,0.1253348,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4635968,0.1254378,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4634443,0.1257834,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4636701,0.1257982,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4636598,0.1269635,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4633519,0.1264023,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4636418,0.1264261,Fox Hollow Drive,,,,,Fox Hollow Drive
51.4636084,0.1291121,Brampton Road,,,,,Brampton Road
51.4638007,0.1326415,Avenue Road; Pickford Lane; Station Approach,,,,,Station Approach
51.4636703,0.1336583,Station Approach,,,,,Station Approach
51.4612196,0.1384027,Belvedere Road; Upland Road,,,,,Upland Road
51.4597651,0.1381326,Church Road; Mayfield,,,,,Mayfield
51.4596774,0.1387402,Mayfield,,,,,Mayfield
51.4595506,0.1381681,Church Road; Queen Street,,,,,Queen Street
51.4598972,0.1229959,Park View Road,,,,,Park View Road
51.4604173,0.1232675,Park View Road,,,,,Park View Road
51.4577524,0.1431859,Graham Road; Sherbrooke Close,,,,,Sherbrooke Close
51.4575355,0.1433307,Arnsberg Way; Broadway; Graham Road,,,,,Graham Road
51.457577,0.1388449,Trinity Place,,,,,Trinity Place
51.458232,0.1389993,Trinity Place,,,,,Trinity Place
51.457936,0.1389861,Trinity Place,,,,,Trinity Place
51.4580343,0.1380499,Church Road; Trinity Place,,,,,Trinity Place
51.4573652,0.1396958,Banks Lane; Broadway,,,,,Broadway
51.4583023,0.1400774,Banks Lane,,,,,Banks Lane
51.4532401,0.1392816,Bellevue Road,,,,,Bellevue Road
51.4521789,0.1410753,Meadow Close; Oaklands Road,,,,,Oaklands Road
51.4517473,0.1405613,Meadow Close,,,,,Meadow Close
51.453124,0.1336719,Mount Road; Robin Hood Lane; Upton Road,,,,,Upton Road
51.4493457,0.1401836,Upton Close,,,,,Upton Close
51.4506723,0.1374702,Upton Road,,,,,Upton Road
51.4502579,0.1367073,Upton Road,,,,,Upton Road
51.4495917,0.1382867,Arbuthnot Lane; Townley Road; Upton Road,,,,,Upton Road
51.4485938,0.1353752,Iris Avenue,,,,,Iris Avenue
51.4493671,0.1278326,Margaret Road,,,,,Margaret Road
51.4492868,0.1251632,Coronation Close,,,,,Coronation Close
51.4494152,0.1249057,Coronation Close,,,,,Coronation Close
51.4500833,0.126611,Pengarth Road; Penn Lane,,,,,Penn Lane
51.4503142,0.1270638,Pengarth Road,,,,,Pengarth Road
51.4503635,0.1269986,Pengarth Road,,,,,Pengarth Road
51.4502496,0.1271362,Pengarth Road,,,,,Pengarth Road
51.4555895,0.1333825,Lenor Close,,,,,Lenor Close
51.4506947,0.1219621,Danson Road,,,,,Danson Road
51.44767,0.1326798,Torbrook Close,,,,,Torbrook Close
